time,envelope_standardized
8.72,-0.402724233521848
8.73,-0.565009346960699
8.74,-0.563018107518863
8.75,-0.574174850175315
8.76,-0.5248292561854
8.77,-0.361940343958626
8.78,-0.188636358100371
8.79,0.0198988590682813
8.8,0.0388847158963561
8.81,-0.0132347885012536
8.82,-0.201509675205853
8.83,-0.0930542146250278
8.84,-0.303098457022588
8.85,-0.409677485868298
8.86,-0.190281704728985
8.87,-0.294337010165312
8.88,-0.140767795696268
8.89,-0.189165829403877
8.9,-0.0827705593731567
8.91,-0.302810330134507
8.92,-0.503318211638367
8.93,-0.490913647429347
8.94,-0.423639067664697
8.95,-0.149983253536513
8.96,-0.269258106522264
8.97,-0.224628564751979
8.98,0.462506713786962
8.99,0.856499003429537
9,1.28241405747775
9.01,1.46449318280036
9.02,1.2198490307419
9.03,0.706935864362817
9.04,0.163679117006675
9.05,0.0785504606785186
9.06,0.0163526434526474
9.07,-0.0153227813540577
9.08,0.0448494723331946
9.09,-0.0495777490897422
9.1,-0.342591491638743
9.11,-0.613124289198534
9.12,-0.596206244252698
9.13,-0.0311227189972371
9.14,-0.153829641503616
9.15,0.541078611981028
9.16,1.9781219754043
9.17,1.53417060407592
9.18,2.5204883973085
9.19,2.42153992140507
9.2,1.50217682768727
9.21,1.5876870409099
9.22,1.20378956695176
9.23,1.30080491048939
9.24,1.29600718413939
9.25,1.35977603157605
9.26,1.9584383712813
9.27,2.03981862406623
9.28,3.09418439027217
9.29,3.05989229726292
9.3,2.14172411527852
9.31,1.00383242789233
9.32,0.165411246023509
9.33,0.135861472649847
9.34,0.0354693480368347
9.35,-0.287223703067505
9.36,-0.505078673283671
9.37,-0.48118032340688
9.38,-0.392843265306041
9.39,-0.304814026517723
9.4,-0.259725317979067
9.41,-0.303923512683509
9.42,0.56874276760615
9.43,0.936212217333731
9.44,1.11325219380591
9.45,0.909700325689299
9.46,0.873979008810421
9.47,0.227319202369896
9.48,0.153320150298946
9.49,-0.0582375721215372
9.5,-0.109141059804312
9.51,-0.272907362587203
9.52,-0.584775795601934
9.53,-0.476978408708351
9.54,-0.474675927935082
9.55,0.0245897714031029
9.56,0.334367037157825
9.57,-0.304034618879927
9.58,1.14196318167693
9.59,1.6431508288862
9.6,1.13777172821111
9.61,1.69436559670241
9.62,1.31456514467167
9.63,0.856086087037867
9.64,0.0815786154322774
9.65,-0.233567607850162
9.66,-0.2360195938407
9.67,-0.391852587267563
9.68,-0.371049367425006
9.69,-0.428145788068819
9.7,-0.424199938580562
9.71,-0.423515586303281
9.72,-0.495835389872889
9.73,-0.428018251194864
9.74,-0.549768163269376
9.75,-0.545174914990627
9.76,-0.592546250879224
