Unnamed: 0,POS_sentence,POS_word,base,dep,freq,function,index_s,ld20,length,open,story,type,v_onset,word,xmax,xmin,local_freq,entropy,isV,isN,isC,is_key,is_key_and_C,duration,freq_binary,freq_quart,sc_onset,ivc_avg,Entropy_Roark,Surprisal_Roark,env_avg
1966,NN,N,Arm,0.0,10.0,root,15.0,1.45,0.27,0.0,9.0,low,150.1,Arm,150.37,150.1,0.00049505,9.33e-07,0,1,1,1,1,0.27000000000001023,1,3,148.7079,-0.18725137006778966,8.094,10.763,0.45346339580624784
1967,ADV,ADV,herunter,15.0,11.0,adv,16.0,2.7,0.59,0.0,9.0,low,150.45,herunter,150.96,150.37,0.000990099,1.7e-06,1,1,1,0,0,0.5900000000000034,1,3,149.0579,-0.4807235990004214,5.166,11.325999999999999,-0.13382802632200902
1968,VVFIN,V,ziehen,0.0,8.0,root,18.0,1.75,0.29,0.0,9.0,low,151.42,zog,151.64,151.35,0.00049505,9.33e-07,1,1,1,1,1,0.28999999999999204,1,3,150.0279,0.7113188558756779,5.002,7.621,0.8670329617601544
1969,PPER,PRO,sie,18.0,3.0,subj,19.0,1.25,0.18,0.0,9.0,low,151.64,sie,151.82,151.64,0.016831683,1.7e-05,0,1,0,0,0,0.18000000000000682,0,2,150.2479,0.6288734466482025,1.7919999999999998,1.6340000000000001,-0.322646671905128
1970,APPR,PREP,zu,18.0,2.0,objp,20.0,2.0,0.12,0.0,9.0,low,151.9,zu,151.94,151.82,0.010643564,1.2e-05,0,0,0,0,0,0.12000000000000455,0,1,150.5079,0.2936114806510763,5.595,3.4739999999999998,-0.39995978072985916
1971,PRF,PRO,sie,20.0,3.0,pn,21.0,1.4,0.14,0.0,9.0,low,151.94,sich,152.08,151.94,0.016831683,1.7e-05,0,1,0,0,0,0.14000000000001478,0,2,150.5479,0.32234827484764994,5.8210000000000015,0.027000000000000003,0.04236267637687139
1972,ADJD,ADV,herauf,18.0,12.0,adv,22.0,1.85,0.5,0.0,9.0,low,152.18,herauf,152.58,152.08,0.00049505,9.33e-07,1,1,1,1,1,0.5,1,4,150.7879,-0.19158664230809155,5.362,11.437999999999999,0.12121261234366652
1973,KON,KON,und,18.0,1.0,kon,23.0,1.45,0.12,0.0,9.0,low,153.07,und,153.19,153.07,0.048514851,3.63e-05,0,0,0,0,0,0.12000000000000455,0,1,151.6779,0.6703325912782941,2.3369999999999997,0.757,-0.14955866991851324
1974,VVFIN,V,springen,23.0,11.0,cj,24.0,1.8,0.46,0.0,9.0,low,153.41,sprang,153.65,153.19,0.001237624,2.05e-06,1,1,1,0,0,0.460000000000008,1,3,152.0179,0.8200914925998603,3.3680000000000003,5.023,0.44850979846612427
1975,APPR,PREP,mit,24.0,2.0,pp,25.0,1.45,0.19,0.0,9.0,low,153.69,mit,153.84,153.65,0.006930693000000001,8.53e-06,0,0,0,0,0,0.18999999999999773,0,1,152.2979,-0.1335620818003907,6.055,2.1519999999999997,0.19363120128678926
1976,PPER,PRO,ihr,25.0,5.0,pn,26.0,1.6,0.29,0.0,9.0,low,153.84,ihr,154.13,153.84,0.000247525,5.09e-07,0,1,0,0,0,0.28999999999999204,0,2,152.4479,-0.3649364618778679,5.681,3.464,0.613570369015402
1977,KOKOM,KOKOM,wie,24.0,3.0,kom,27.0,1.5,0.235,0.0,9.0,low,154.52,wie,154.685,154.45,0.01039604,1.18e-05,0,0,0,0,0,0.23500000000001364,0,2,153.1279,-0.40881130574182795,6.9860000000000015,0.634,0.02103602116704417
1978,APPR,PREP,von,27.0,2.0,cj,28.0,1.0,0.165,0.0,9.0,low,154.685,von,154.85,154.685,0.012376238,1.35e-05,0,0,0,0,0,0.16499999999999204,0,1,153.2929,-0.29996926128336304,5.973,2.835,0.13352211866861824
1979,ART,ART,eine,31.0,3.0,det,29.0,1.1,0.27,1.0,9.0,low,154.85,einer,155.12,154.85,0.018564356,1.83e-05,0,0,0,0,0,0.27000000000001023,0,2,153.4579,-0.41601886713071,5.1610000000000005,2.5540000000000003,0.5395071891175225
1980,ADJA,ADJA,schwankend,31.0,15.0,attr,30.0,3.8,0.7,2.0,9.0,low,155.3,schwankenden,155.82,155.12,0.000247525,5.09e-07,1,1,1,0,0,0.6999999999999886,1,4,153.9079,-0.4282034995280965,7.978,12.194,0.044764700817835276
