time,ivc_raw,ivc_standarized
7.74,437508.70097663405,-0.9658554681108483
7.75,901103.4723808103,-0.8613866485908749
7.76,2984076.20010381,-0.391998908736912
7.77,5666385.995036176,0.21244651461136807
7.78,7665834.6135338545,0.6630125040262619
7.79,8264465.953752426,0.7979111553869586
7.8,7675486.050029435,0.6651874081441651
7.81,6726436.6785469,0.45132376338248886
7.82,6166877.028306164,0.3252297266991141
7.83,6170021.392325587,0.3259382937872528
7.84,6390663.166522971,0.3756588409309941
7.85,6453640.601234562,0.38985049853055775
7.86,6390160.555631211,0.3755455800191399
7.87,6608652.023541124,0.42478156613390716
7.88,7417699.357685622,0.6070964349531888
7.89,8541250.23326129,0.8602831421425382
7.9,9113715.91507466,0.9892854900628945
7.91,8258282.087375783,0.7965176512745622
7.92,5843451.714242562,0.252347410402143
7.93,2805157.845837432,-0.43231728679810283
7.94,707342.9993503015,-0.9050496256900739
7.95,787656.2392010738,-0.8869514289963933
7.96,3149780.026689534,-0.354658360005268
7.97,6685719.6372105,0.4421483768053802
7.98,9788517.487747638,1.141348731617246
7.99,11345453.547788316,1.4921966753243674
8.0,11318324.026262628,1.4860831700332142
8.01,10551840.92350549,1.313359943055242
8.02,10032590.64486516,1.1963494265632868
8.03,10196507.258935582,1.2332872356757165
8.04,10777399.872857023,1.3641885516254977
8.05,11215914.261585845,1.4630056292950024
8.06,11204987.591056049,1.460543357410283
8.07,10887910.298006281,1.3890915366721694
8.08,10574213.315638421,1.3184014524512302
8.09,10284163.103272872,1.253040052460528
8.1,9590355.29401494,1.0966938482370043
8.11,7959991.053342122,0.7292992223339114
8.12,5340045.240251609,0.13890721797448247
8.13,2467496.946710023,-0.5084075227234329
8.14,564426.1999874751,-0.9372552290315116
8.15,566018.441758821,-0.936896425118044
8.16,2435048.2577874395,-0.5157196764313913
8.17,5098834.036617825,0.08455145028045025
8.18,7097878.925047213,0.5350264610945475
8.19,7500523.019825291,0.6257603430594967
8.2,6434114.149577477,0.3854503079333885
8.21,4872616.637662606,0.03357446330505818
8.22,3877589.5982642947,-0.19065002456296726
8.23,3880154.1954189884,-0.19007210510869121
8.24,4518968.221771914,-0.04611848150815953
8.25,5086606.6939439215,0.08179607827498123
8.26,5162610.447452856,0.0989231532506459
